document_id,variant_id,file_name,document_type,extraction_method,ocr_confidence,structured_confidence,confidence_label,validation_status,processing_time_seconds,vendor_name,vendor_address,vendor_email,vendor_phone,customer_name,customer_address,invoice_number,invoice_date,due_date,currency,purchase_order,subtotal,tax_rate,tax_amount,discount,shipping,total_amount,payment_terms,merchant_name,merchant_address,merchant_phone,receipt_number,transaction_date,transaction_time,payment_method,last_four_digits,cashier
INV-0017,INV-0017-image_jpg,inv-0017_slight_rotation.jpg,invoice,ocr,0.9921607306691219,0.8928,High,Review,0.009,Juniper Office Works,"72CedarWalk,LumenCity,CO80014",,,,,NS-2025-10016,2025-06-04,2025-07-19,USD,,,,0.0,,,122.29,,,,,,,,,,
INV-0018,INV-0018-image_jpg,inv-0018_light_noise.jpg,invoice,ocr,0.9917679481810825,0.9436,High,Review,0.0088,Blue Finch Supplies,"409HarborLane,Fairhaven,ME04032",,,No:NS-2025-10017,WilliamWatkins,NS-2025-10017,2025-05-23,2025-06-22,USD,,213.94,,10.7,,,224.64,,,,,,,,,,
INV-0019,INV-0019-image_jpg,inv-0019_perspective.jpg,invoice,ocr,0.9928331385688106,0.9439,High,Review,0.0118,Copper & Pine Studio,"11QuartzStreet,Bellmere,AZ85004",,,Melissa Hardy No:NS-2025-10018,"14542MatthewSummit,Josephland Date:2025-04-04",NS-2025-10018,2025-04-04,2025-05-04,USD,,466.0,,38.45,,,504.45,,,,,,,,,,
INV-0020,INV-0020-image_jpg,inv-0020_lower_contrast.jpg,invoice,ocr,0.9882014597538391,0.9288,High,Review,0.0092,Maple Circuit Goods,"260GroveAvenue,Westvale,NY10018",,,,,NS-2025-10019,2025-10-31,2025-12-15,USD,,219.54,,10.98,,,230.52,,,,,,,,,,
INV-0021,INV-0021-image_jpg,inv-0021_jpeg_compression.jpg,invoice,ocr,0.9889723237928079,0.9291,High,Review,0.0088,Northstar Paper Co.,"18WillowLoop,AlderBay.OR97001",,,,,NS-2025-10020,2025-06-24,2025-08-08,USD,,532.83,,26.64,,,559.47,,,,,,,,,,
INV-0022,INV-0022-image_jpg,inv-0022_mild_blur.jpg,invoice,ocr,0.9932833493585494,0.9304,High,Review,0.0097,JuniperOfficeWorks,"72CedarWalk,LumenCity,CO80014",,,,,NS-2025-10021,2025-09-01,2025-10-01,USD,,155.21,,12.8,,,168.01,,,,,,,,,,
INV-0023,INV-0023-image_jpg,inv-0023_mild_shadow.jpg,invoice,ocr,0.9759089670439124,0.9489,High,Passed,0.009,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032,",,,No: NS-2025-10022,Joanna Frank,NS-2025-10022,2025-01-20,2025-02-03,USD,,606.15,,0.0,,,606.15,,,,,,,,,,
INV-0024,INV-0024-image_jpg,inv-0024_slight_rotation.jpg,invoice,ocr,0.9919804197375172,0.9387,High,Passed,0.0093,Copper & Pine Studio,"11QuartzStreet,Bellmere,AZ85004",,,,,NS-2025-10023,2025-11-21,2025-12-21,USD,,,,10.81,,,226.95,,,,,,,,,,
INV-0025,INV-0025-image_jpg,inv-0025_light_noise.jpg,invoice,ocr,0.9917076736244734,0.9076,High,Review,0.0096,MapleCircuitGoods,"260GroveAvenue,Westvale,NY10018",,,No:NS-2025-10024,AlexandraWilliams,NS-2025-10024,2025-09-21,2025-10-05,USD,,208.64,,0.0,,,208.64,,,,,,,,,,
INV-0026,INV-0026-image_jpg,inv-0026_perspective.jpg,invoice,ocr,0.9908203936912181,0.9433,High,Review,0.0086,Northstar Paper Co.,"18WillowLoop,AlderBay,OR97001",,,Mary Thomas No:NS-2025-10025,"453FlemingKnollSuite124,Danielburgh Date:2025-03-18",NS-2025-10025,2025-03-18,2025-04-17,USD,,282.76,,21.21,,,303.97,,,,,,,,,,
INV-0028,INV-0028-image_jpg,inv-0028_jpeg_compression.jpg,invoice,ocr,0.9841657041346558,0.9276,High,Review,0.0092,Blue Finch Supplies,"409HarborLane,Fairhaven,ME04032",,,,,NS-2025-10027,2025-01-12,2025-01-26,USD,,78.23,,6.45,,,84.68,,,,,,,,,,
INV-0029,INV-0029-image_jpg,inv-0029_mild_blur.jpg,invoice,ocr,0.9900305250721587,0.9294,High,Review,0.0089,Copper&PineStudio,"11QuartzStreet,Bellmere,AZ85004",,,,,NS-2025-10028,2025-07-14,2025-08-28,USD,,170.89,,12.82,,,183.71,,,,,,,,,,
INV-0030,INV-0030-image_jpg,inv-0030_mild_shadow.jpg,invoice,ocr,0.9815263503887295,0.9405,High,Review,0.0092,MapleCircuitGoods,"260 Grove Avenue,Westvale, NY 10018",,,Joseph Peterson No:NS-2025-10029,Date:2025-04-09,NS-2025-10029,2025-04-09,2025-04-23,USD,,248.38,,12.42,,,260.8,,,,,,,,,,
INV-0032,INV-0032-image_jpg,inv-0032_light_noise.jpg,invoice,ocr,0.9898689886209043,0.9431,High,Review,0.0089,Juniper Office Works,"72CedarWalk,LumenCity,CO80014",,,JacobTrevino No:NS-2025-10031,Date:2025-06-13,NS-2025-10031,2025-06-13,2025-06-27,USD,,164.25,,0.0,,,164.25,,,,,,,,,,
INV-0033,INV-0033-image_jpg,inv-0033_perspective.jpg,invoice,ocr,0.9890028596464363,0.9428,High,Review,0.0093,BlueFinch Supplies,"409HarborLane,Fairhaven,ME04032",,,Deborah Campos Date:2025-10-28,"958BergGardensApt.442,Aguilarport Due:2025-11-11",NS-2025-10032,2025-10-28,2025-11-11,USD,,420.65,,0.0,,,420.65,,,,,,,,,,
INV-0034,INV-0034-image_jpg,inv-0034_lower_contrast.jpg,invoice,ocr,0.9915461683716905,0.9399,High,Passed,0.0089,Copper&PineStudio,"11QuartzStreet,Bellmere,AZ85004",,,,,NS-2025-10033,2025-04-25,2025-05-25,USD,,359.97,,18.0,,,377.97,,,,,,,,,,
INV-0035,INV-0035-image_jpg,inv-0035_jpeg_compression.jpg,invoice,ocr,0.9901950130357753,0.9294,High,Review,0.009,MapleCircuitGoods,"260GroveAvenue,Westvale,NY10018",,,,,NS-2025-10034,2025-05-03,2025-06-02,USD,,186.69,,15.4,,,202.09,,,,,,,,,,
INV-0036,INV-0036-image_jpg,inv-0036_mild_blur.jpg,invoice,ocr,0.9894654750056625,0.9292,High,Review,0.0104,Northstar Paper Co.,"18WillowLoop,AlderBay，OR97001",,,,,NS-2025-10035,2025-11-01,2025-12-16,USD,,365.75,,27.43,,,393.18,,,,,,,,,,
INV-0039,INV-0039-image_jpg,inv-0039_light_noise.jpg,invoice,ocr,0.9897336788082298,0.943,High,Review,0.0289,Copper & Pine Studio,"11QuartzStreet,Bellmere,AZ85004",,,Cassandra Petty Date:2025-01-27,"3378MichaelParkwayApt.500,NewErica Due:2025-02-10",NS-2025-10038,2025-01-27,2025-02-10,USD,,267.65,,22.08,,,289.73,,,,,,,,,,
INV-0001,INV-0001-digital_pdf,inv-0001_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0592,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",,,Tracy Hayes,"797 Gallagher Creek, Crosston",NS-2025-10000,2025-01-24,2025-02-07,USD,,380.76,,31.41,,,412.17,,,,,,,,,,
INV-0003,INV-0003-digital_pdf,inv-0003_digital.pdf,invoice,embedded_text,,0.9274,High,Passed,0.0203,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",,,,,NS-2025-10002,2025-07-25,2025-08-24,USD,,727.13,,59.99,,,787.12,,,,,,,,,,
INV-0005,INV-0005-digital_pdf,inv-0005_digital.pdf,invoice,embedded_text,,0.9174,High,Review,0.0141,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",,,,,NS-2025-10004,2025-05-08,2025-06-22,USD,,251.78,,12.59,,,264.37,,,,,,,,,,
INV-0006,INV-0006-digital_pdf,inv-0006_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0127,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",,,Ryan Webster,"62320 Boone Pine Suite 531, East Kevin",NS-2025-10005,2025-10-01,2025-11-15,USD,,270.68,,13.53,,,284.21,,,,,,,,,,
INV-0007,INV-0007-digital_pdf,inv-0007_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0106,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",,,Mitchell Bell,"829 Joseph Trafficway, Jerryton",NS-2025-10006,2025-05-05,2025-05-19,USD,,121.22,,10.0,,,131.22,,,,,,,,,,
INV-0009,INV-0009-digital_pdf,inv-0009_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0114,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Taylor Brown,"5683 Cunningham Overpass Apt. 557, Lake Christopherfort",NS-2025-10008,2025-04-18,2025-05-02,USD,,249.16,,18.69,,,267.85,,,,,,,,,,
INV-0010,INV-0010-digital_pdf,inv-0010_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0131,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",,,Daniel Brooks,"6812 Clark Villages, Youngfort",NS-2025-10009,2025-05-29,2025-06-12,USD,,539.29,,0.0,,,539.29,,,,,,,,,,
INV-0012,INV-0012-digital_pdf,inv-0012_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0104,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",,,Jacqueline Roberts,"64355 Daniel Inlet, East Chelsea",NS-2025-10011,2025-06-13,2025-07-28,USD,,278.09,,20.86,,,298.95,,,,,,,,,,
INV-0014,INV-0014-digital_pdf,inv-0014_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0099,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Pamela Harrell,"24999 Dixon Ramp, Solomonside",NS-2025-10013,2025-09-26,2025-11-10,USD,,353.77,,17.69,,,371.46,,,,,,,,,,
INV-0016,INV-0016-digital_pdf,inv-0016_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0133,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",,,Tricia Fisher,"58889 Aguirre Corner Apt. 499, Lake Brittany",NS-2025-10015,2025-01-02,2025-01-16,USD,,448.62,,37.01,,,485.63,,,,,,,,,,
INV-0017,INV-0017-digital_pdf,inv-0017_digital.pdf,invoice,embedded_text,,0.9216,High,Passed,0.0105,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",,,Regina Hicks,"493 Johnson Mountains Apt. 828, South Jenniferchester",NS-2025-10016,2025-06-04,2025-07-19,USD,,122.29,,0.0,,,122.29,,,,,,,,,,
INV-0018,INV-0018-digital_pdf,inv-0018_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0101,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",,,William Watkins,"8754 Toni Mountains Suite 030, Port Staceyville",NS-2025-10017,2025-05-23,2025-06-22,USD,,213.94,,10.7,,,224.64,,,,,,,,,,
INV-0019,INV-0019-digital_pdf,inv-0019_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0109,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Melissa Hardy,"14542 Matthew Summit, Josephland",NS-2025-10018,2025-04-04,2025-05-04,USD,,466.0,,38.45,,,504.45,,,,,,,,,,
INV-0020,INV-0020-digital_pdf,inv-0020_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0103,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",,,Raymond Perry,"13245 Patel Stravenue Suite 333, Davidmouth",NS-2025-10019,2025-10-31,2025-12-15,USD,,219.54,,10.98,,,230.52,,,,,,,,,,
INV-0021,INV-0021-digital_pdf,inv-0021_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.01,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",,,Sandra Mcpherson,"77098 Burton Mountain Suite 252, Port Paulport",NS-2025-10020,2025-06-24,2025-08-08,USD,,532.83,,26.64,,,559.47,,,,,,,,,,
INV-0022,INV-0022-digital_pdf,inv-0022_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0137,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",,,Nicholas Yang,"5338 Brittany Trail Suite 488, Gardnerview",NS-2025-10021,2025-09-01,2025-10-01,USD,,155.21,,12.8,,,168.01,,,,,,,,,,
INV-0023,INV-0023-digital_pdf,inv-0023_digital.pdf,invoice,embedded_text,,0.9216,High,Passed,0.0118,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",,,Joanna Frank,"790 Martin River Apt. 306, East Cassandraview",NS-2025-10022,2025-01-20,2025-02-03,USD,,606.15,,0.0,,,606.15,,,,,,,,,,
INV-0024,INV-0024-digital_pdf,inv-0024_digital.pdf,invoice,embedded_text,,0.9216,High,Passed,0.0099,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Brian Gomez,"7476 Garcia Road Suite 770, Jacobville",NS-2025-10023,2025-11-21,2025-12-21,USD,,216.14,,10.81,,,226.95,,,,,,,,,,
INV-0025,INV-0025-digital_pdf,inv-0025_digital.pdf,invoice,embedded_text,,0.8756,High,Review,0.0118,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",,,Alexandra Williams,"38882 Victor Spur, Reginaldland",NS-2025-10024,2025-09-21,2025-10-05,USD,,208.64,,0.0,,,208.64,,,,,,,,,,
INV-0026,INV-0026-digital_pdf,inv-0026_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0097,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",,,Mary Thomas,"453 Fleming Knoll Suite 124, Danielburgh",NS-2025-10025,2025-03-18,2025-04-17,USD,,282.76,,21.21,,,303.97,,,,,,,,,,
INV-0028,INV-0028-digital_pdf,inv-0028_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0097,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",,,James Hernandez,"00593 Laura Plaza Suite 939, Lake Carolyn",NS-2025-10027,2025-01-12,2025-01-26,USD,,78.23,,6.45,,,84.68,,,,,,,,,,
INV-0029,INV-0029-digital_pdf,inv-0029_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0107,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Kathleen Floyd,"10637 Christopher Divide, Hayestown",NS-2025-10028,2025-07-14,2025-08-28,USD,,170.89,,12.82,,,183.71,,,,,,,,,,
INV-0030,INV-0030-digital_pdf,inv-0030_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0101,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",,,Joseph Peterson,"288 Chelsea Crest, Morrisfurt",NS-2025-10029,2025-04-09,2025-04-23,USD,,248.38,,12.42,,,260.8,,,,,,,,,,
INV-0032,INV-0032-digital_pdf,inv-0032_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0112,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",,,Jacob Trevino,"04897 Rachel Groves, South Richardborough",NS-2025-10031,2025-06-13,2025-06-27,USD,,164.25,,0.0,,,164.25,,,,,,,,,,
INV-0033,INV-0033-digital_pdf,inv-0033_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0126,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",,,Deborah Campos,"958 Berg Gardens Apt. 442, Aguilarport",NS-2025-10032,2025-10-28,2025-11-11,USD,,420.65,,0.0,,,420.65,,,,,,,,,,
INV-0034,INV-0034-digital_pdf,inv-0034_digital.pdf,invoice,embedded_text,,0.9216,High,Passed,0.0111,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Jennifer Green,"51535 Monique Vista Suite 263, Port Jennifer",NS-2025-10033,2025-04-25,2025-05-25,USD,,359.97,,18.0,,,377.97,,,,,,,,,,
INV-0035,INV-0035-digital_pdf,inv-0035_digital.pdf,invoice,embedded_text,,0.9216,High,Passed,0.0101,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",,,Laurie Thomas,"00619 Timothy Springs Suite 765, Jimmyberg",NS-2025-10034,2025-05-03,2025-06-02,USD,,186.69,,15.4,,,202.09,,,,,,,,,,
INV-0036,INV-0036-digital_pdf,inv-0036_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0109,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",,,Keith Campos,"97144 Juan Road, Lake Coreymouth",NS-2025-10035,2025-11-01,2025-12-16,USD,,365.75,,27.43,,,393.18,,,,,,,,,,
INV-0039,INV-0039-digital_pdf,inv-0039_digital.pdf,invoice,embedded_text,,0.9116,High,Review,0.0109,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Cassandra Petty,"3378 Michael Parkway Apt. 500, New Erica",NS-2025-10038,2025-01-27,2025-02-10,USD,,267.65,,22.08,,,289.73,,,,,,,,,,
INV-0001,INV-0001-image_png,inv-0001_slight_rotation.png,invoice,ocr,0.9919666118447036,0.9521,High,Passed,0.0086,Northstar Paper Co.,"18WillowLoop,AlderBay,OR97001",,,"Tracy Hayes 797GallagherCreek,Crosston Due:2025-02-07",QTY PRICE AMOUNT,NS-2025-10000,2025-01-24,2025-02-07,USD,,,,31.41,,,412.17,,,,,,,,,,
INV-0003,INV-0003-image_png,inv-0003_perspective.png,invoice,ocr,0.9956795299342048,0.9448,High,Review,0.01,Blue Finch Supplies,"409HarborLane,Fairhaven,ME04032",,,CourtneyWagner Date:2025-07-25,"9692Sosa Route,Davidsonstad Due:2025-08-24",NS-2025-10002,2025-07-25,2025-08-24,USD,,727.13,,59.99,,,787.12,,,,,,,,,,
INV-0005,INV-0005-image_png,inv-0005_jpeg_compression.png,invoice,ocr,0.9912962096661565,0.9298,High,Review,0.0089,MapleCircuitGoods,"260GroveAvenue,Westvale,NY10018",,,,,NS-2025-10004,2025-05-08,2025-06-22,USD,,251.78,,12.59,,,264.37,,,,,,,,,,
INV-0006,INV-0006-image_png,inv-0006_mild_blur.png,invoice,ocr,0.9893740296427322,0.9429,High,Review,0.0105,Northstar Paper Co.,"18WillowLoop,AlderBay,OR97001",,,RyanWebster Date:2025-10-01,"62320BoonePineSuite531,EastKevin Due:2025-11-15",NS-2025-10005,2025-10-01,2025-11-15,USD,,270.68,,13.53,,,284.21,,,,,,,,,,
INV-0007,INV-0007-image_png,inv-0007_mild_shadow.png,invoice,ocr,0.9754613429534704,0.9387,High,Review,0.0085,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",,,Mitchell Bell Date:2025-05-05,"829 Joseph Trafficway, Jerryton Due:2025-05-19",NS-2025-10006,2025-05-05,2025-05-19,USD,,121.22,,10.0,,,131.22,,,,,,,,,,
INV-0009,INV-0009-image_png,inv-0009_light_noise.png,invoice,ocr,0.9934376950627732,0.9304,High,Review,0.0106,Copper &PineStudio,"11QuartzStreet,Bellmere,AZ85004",,,,,NS-2025-10008,2025-04-18,2025-05-02,USD,,249.16,,18.69,,,267.85,,,,,,,,,,
INV-0010,INV-0010-image_png,inv-0010_perspective.png,invoice,ocr,0.992439059732266,0.9438,High,Review,0.0106,Maple Circuit Goods,"260GroveAvenue,Westvale,NY10018",,,Daniel Brooks Date:2025-05-29,"6812Clark Villages,Youngfort Due:2025-06-12",NS-2025-10009,2025-05-29,2025-06-12,USD,,539.29,,0.0,,,539.29,,,,,,,,,,
INV-0012,INV-0012-image_png,inv-0012_jpeg_compression.png,invoice,ocr,0.9866776457546695,0.9284,High,Review,0.0092,Juniper Office Works,"72CedarWalk,LumenCity,CO80014",,,,,NS-2025-10011,2025-06-13,2025-07-28,USD,,278.09,,20.86,,,298.95,,,,,,,,,,
INV-0014,INV-0014-image_png,inv-0014_mild_shadow.png,invoice,ocr,0.9796142253880551,0.94,High,Review,0.0104,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,Pamela Harrell Date:2025-09-26,"24999 Dixon Ramp, Solomonside Due: 2025-11-10",NS-2025-10013,2025-09-26,2025-11-10,USD,,353.77,,17.69,,,371.46,,,,,,,,,,
INV-0016,INV-0016-image_png,inv-0016_light_noise.png,invoice,ocr,0.9818448280793303,0.9406,High,Review,0.0112,Northstar Paper Co.,"18WillowLoop,AlderBay,OR97001",,,Tricia Fisher Date:2025-01-02,"58889AguirreCornerApt.499,LakeBrittany Due:2025-01-16",NS-2025-10015,2025-01-02,2025-01-16,USD,,448.62,,37.01,,,485.63,,,,,,,,,,
INV-0017,INV-0017-image_png,inv-0017_perspective.png,invoice,ocr,0.9921268006919419,0.9437,High,Review,0.0134,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",,,Regina Hicks Date:2025-06-04,"493JohnsonMountainsApt.828,SouthJenniferchester Due:2025-07-19",NS-2025-10016,2025-06-04,2025-07-19,USD,,122.29,,0.0,,,122.29,,,,,,,,,,
INV-0018,INV-0018-image_png,inv-0018_lower_contrast.png,invoice,ocr,0.9920238741446644,0.9437,High,Review,0.0109,Blue Finch Supplies,"409Harbor Lane,Fairhaven,ME04032",,,WilliamWatkins Date:2025-05-23,"8754ToniMountainsSuite030,PortStaceyville Due:2025-06-22",NS-2025-10017,2025-05-23,2025-06-22,USD,,213.94,,10.7,,,224.64,,,,,,,,,,
INV-0019,INV-0019-image_png,inv-0019_jpeg_compression.png,invoice,ocr,0.9873164074622688,0.9286,High,Review,0.0107,Copper & Pine Studio,"11QuartzStreet,Bellmere,AZ85004",,,,,NS-2025-10018,2025-04-04,2025-05-04,USD,,466.0,,38.45,,,504.45,,,,,,,,,,
INV-0020,INV-0020-image_png,inv-0020_mild_blur.png,invoice,ocr,0.9917051900374892,0.9436,High,Review,0.0094,Maple Circuit Goods,"260GroveAvenue,Westvale,NY10018",,,RaymondPerry Date:2025-10-31,"13245PatelStravenueSuite333,Davidmouth Due:2025-12-15",NS-2025-10019,2025-10-31,2025-12-15,USD,,219.54,,10.98,,,230.52,,,,,,,,,,
INV-0021,INV-0021-image_png,inv-0021_mild_shadow.png,invoice,ocr,0.977041594430088,0.9392,High,Review,0.0098,NorthstarPaper Co.,"18 WillowLoop, AlderBay, OR97001",,,Sandra Mcpherson Date:2025-06-24,"77098 Burton Mountain Suite 252, Port Paulport Due:2025-08-08",NS-2025-10020,2025-06-24,2025-08-08,USD,,532.83,,26.64,,,559.47,,,,,,,,,,
INV-0022,INV-0022-image_png,inv-0022_slight_rotation.png,invoice,ocr,0.9908155781667427,0.9517,High,Passed,0.0084,Juniper Office Works,"72CedarWalk,LumenCity,CO80014",,,"Nicholas Yang 5338BrittanyTrailSuite488,Gardnerview Due:2025-10-01",QTY PRICE AMOUNT,NS-2025-10021,2025-09-01,2025-10-01,USD,,,,12.8,,,168.01,,,,,,,,,,
INV-0023,INV-0023-image_png,inv-0023_light_noise.png,invoice,ocr,0.993286993025838,0.9541,High,Passed,0.01,Blue Finch Supplies,"409HarborLane,Fairhaven,ME04032",,,Joanna Frank Date:2025-01-20,"790MartinRiverApt.306,EastCassandraview Due:2025-02-03",NS-2025-10022,2025-01-20,2025-02-03,USD,,606.15,,0.0,,,606.15,,,,,,,,,,
INV-0024,INV-0024-image_png,inv-0024_perspective.png,invoice,ocr,0.9924892202029028,0.9538,High,Passed,0.0092,Copper & Pine Studio,"11QuartzStreet,Bellmere,AZ85004",,,Brian Gomez Date:2025-11-21,"7476Garcia RoadSuite770,Jacobville Due:2025-12-21",NS-2025-10023,2025-11-21,2025-12-21,USD,,216.14,,10.81,,,226.95,,,,,,,,,,
INV-0025,INV-0025-image_png,inv-0025_lower_contrast.png,invoice,ocr,0.9922072866766718,0.9078,High,Review,0.0086,Maple Circuit Goods,"260GroveAvenue,Westvale,NY10018",,,AlexandraWilliams Date:2025-09-21,"38882VictorSpur,Reginaldland Due:2025-10-05",NS-2025-10024,2025-09-21,2025-10-05,USD,,208.64,,0.0,,,208.64,,,,,,,,,,
