document_id,document_type,source_template,vendor_name,vendor_address,vendor_email,vendor_phone,customer_name,customer_address,invoice_number,invoice_date,due_date,currency,purchase_order,subtotal,tax_rate,tax_amount,discount,shipping,total_amount,payment_terms,notes,expected_text,merchant_name,merchant_address,merchant_phone,receipt_number,transaction_date,transaction_time,payment_method,last_four_digits,cashier
INV-0011,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 110 2010,Mr. Joshua Boyle,"96378 Pierce Parkway, Burnsmouth",NS-2025-10010,2025-11-08,2025-12-23,USD,PO-183334,159.77,5.0,7.99,5.0,4.95,167.76,Net 30,,"Northstar Paper Co.
Number: NS-2025-10010
Archive folders 2 42.53 85.06
Coffee beans 3 22.04 66.12
Gel pen set 1 8.64 8.64
Subtotal: 159.77
Tax: 7.99
Total: 167.76",,,,,,,,,
INV-0012,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 111 2011,Jacqueline Roberts,"64355 Daniel Inlet, East Chelsea",NS-2025-10011,2025-06-13,2025-07-28,USD,PO-567060,278.09,7.5,20.86,10.0,12.0,298.95,Net 30,Thank you for your business.,"Juniper Office Works
Number: NS-2025-10011
Cleaning cloths 3 34.06 102.18
Archive folders 3 57.97 173.91
Subtotal: 278.09
Tax: 20.86
Total: 298.95",,,,,,,,,
INV-0013,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 112 2012,Tiffany Burton,"9576 Bradford Squares, Mckinneyborough",NS-2025-10012,2025-10-12,2025-11-26,USD,,197.95,8.25,16.33,10.0,0.0,214.28,Net 30,,"Blue Finch Supplies
Number: NS-2025-10012
USB adapter 2 2.87 5.74
Cable clips 2 42.65 85.30
Gel pen set 3 38.97 116.91
Subtotal: 197.95
Tax: 16.33
Total: 214.28",,,,,,,,,
INV-0014,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 113 2013,Pamela Harrell,"24999 Dixon Ramp, Solomonside",NS-2025-10013,2025-09-26,2025-11-10,USD,PO-108383,353.77,5.0,17.69,5.0,0.0,371.46,Net 30,Thank you for your business.,"Copper & Pine Studio
Number: NS-2025-10013
Herbal tea 3 4.09 12.27
USB adapter 3 29.18 87.54
Gel pen set 3 47.11 141.33
Granola cup 3 39.21 117.63
Subtotal: 353.77
Tax: 17.69
Total: 371.46",,,,,,,,,
INV-0015,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 114 2014,Kari Soto,"74704 Stanley Trace Suite 038, Lake Thomasfurt",NS-2025-10014,2025-10-29,2025-11-12,USD,PO-965219,404.29,7.5,30.32,10.0,12.0,434.61,Net 30,,"Maple Circuit Goods
Number: NS-2025-10014
Granola cup 1 21.65 21.65
Coffee beans 3 47.31 141.93
Desk organizer 1 13.99 13.99
USB adapter 3 45.50 136.50
Herbal tea 2 44.11 88.22
Subtotal: 404.29
Tax: 30.32
Total: 434.61",,,,,,,,,
INV-0016,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 115 2015,Tricia Fisher,"58889 Aguirre Corner Apt. 499, Lake Brittany",NS-2025-10015,2025-01-02,2025-01-16,USD,,448.62,8.25,37.01,0.0,12.0,485.63,Net 30,Thank you for your business.,"Northstar Paper Co.
Number: NS-2025-10015
Archive folders 1 57.72 57.72
Canvas tote 4 26.17 104.68
Herbal tea 4 20.39 81.56
Cable clips 4 22.65 90.60
Desk organizer 3 34.02 102.06
Subtotal: 448.62
Tax: 37.01
Total: 485.63",,,,,,,,,
INV-0017,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 116 2016,Regina Hicks,"493 Johnson Mountains Apt. 828, South Jenniferchester",NS-2025-10016,2025-06-04,2025-07-19,USD,PO-467427,122.29,0.0,0.0,0.0,0.0,122.29,Net 30,,"Juniper Office Works
Number: NS-2025-10016
Granola cup 2 39.53 79.06
Archive folders 1 43.23 43.23
Subtotal: 122.29
Tax: 0.00
Total: 122.29",,,,,,,,,
INV-0018,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 117 2017,William Watkins,"8754 Toni Mountains Suite 030, Port Staceyville",NS-2025-10017,2025-05-23,2025-06-22,USD,PO-998787,213.94,5.0,10.7,0.0,4.95,224.64,Net 30,Thank you for your business.,"Blue Finch Supplies
Number: NS-2025-10017
Desk organizer 3 17.29 51.87
Archive folders 1 16.30 16.30
Shipping labels 3 25.58 76.74
Cable clips 4 16.02 64.08
Subtotal: 213.94
Tax: 10.70
Total: 224.64",,,,,,,,,
INV-0019,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 118 2018,Melissa Hardy,"14542 Matthew Summit, Josephland",NS-2025-10018,2025-04-04,2025-05-04,USD,,466.0,8.25,38.45,10.0,12.0,504.45,Net 30,,"Copper & Pine Studio
Number: NS-2025-10018
Granola cup 3 9.57 28.71
Herbal tea 4 55.52 222.08
Cable clips 2 21.91 43.82
Canvas tote 4 28.73 114.92
Cleaning cloths 1 54.47 54.47
Subtotal: 466.00
Tax: 38.45
Total: 504.45",,,,,,,,,
INV-0020,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 119 2019,Raymond Perry,"13245 Patel Stravenue Suite 333, Davidmouth",NS-2025-10019,2025-10-31,2025-12-15,USD,PO-509341,219.54,5.0,10.98,0.0,4.95,230.52,Net 30,Thank you for your business.,"Maple Circuit Goods
Number: NS-2025-10019
Archive folders 3 9.15 27.45
Coffee beans 3 43.62 130.86
Gel pen set 3 18.76 56.28
Subtotal: 219.54
Tax: 10.98
Total: 230.52",,,,,,,,,
INV-0021,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 120 2020,Sandra Mcpherson,"77098 Burton Mountain Suite 252, Port Paulport",NS-2025-10020,2025-06-24,2025-08-08,USD,PO-166514,532.83,5.0,26.64,0.0,12.0,559.47,Net 30,,"Northstar Paper Co.
Number: NS-2025-10020
USB adapter 3 39.53 118.59
Granola cup 4 47.47 189.88
Cleaning cloths 4 17.01 68.04
Coffee beans 4 36.08 144.32
Subtotal: 532.83
Tax: 26.64
Total: 559.47",,,,,,,,,
INV-0022,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 121 2021,Nicholas Yang,"5338 Brittany Trail Suite 488, Gardnerview",NS-2025-10021,2025-09-01,2025-10-01,USD,,155.21,8.25,12.8,5.0,8.5,168.01,Net 30,Thank you for your business.,"Juniper Office Works
Number: NS-2025-10021
Archive folders 2 36.02 72.04
Coffee beans 3 19.47 58.41
Recycled notebooks 1 21.26 21.26
Subtotal: 155.21
Tax: 12.80
Total: 168.01",,,,,,,,,
INV-0023,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 122 2022,Joanna Frank,"790 Martin River Apt. 306, East Cassandraview",NS-2025-10022,2025-01-20,2025-02-03,USD,PO-841531,606.15,0.0,0.0,0.0,0.0,606.15,Net 30,,"Blue Finch Supplies
Number: NS-2025-10022
Coffee beans 4 37.30 149.20
Canvas tote 4 39.80 159.20
Granola cup 4 56.37 225.48
Gel pen set 1 33.33 33.33
Recycled notebooks 3 12.98 38.94
Subtotal: 606.15
Tax: 0.00
Total: 606.15",,,,,,,,,
INV-0024,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 123 2023,Brian Gomez,"7476 Garcia Road Suite 770, Jacobville",NS-2025-10023,2025-11-21,2025-12-21,USD,PO-682335,216.14,5.0,10.81,0.0,0.0,226.95,Net 30,Thank you for your business.,"Copper & Pine Studio
Number: NS-2025-10023
Cable clips 2 55.78 111.56
Cleaning cloths 4 7.65 30.60
Granola cup 3 24.66 73.98
Subtotal: 216.14
Tax: 10.81
Total: 226.95",,,,,,,,,
INV-0025,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 124 2024,Alexandra Williams,"38882 Victor Spur, Reginaldland",NS-2025-10024,2025-09-21,2025-10-05,USD,,208.64,0.0,0.0,0.0,0.0,208.64,Net 30,,"Maple Circuit Goods
Number: NS-2025-10024
Shipping labels 2 22.17 44.34
Cable clips 1 41.41 41.41
Canvas tote 3 16.51 49.53
Coffee beans 2 36.68 73.36
Subtotal: 208.64
Tax: 0.00
Total: 208.64",,,,,,,,,
INV-0026,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 125 2025,Mary Thomas,"453 Fleming Knoll Suite 124, Danielburgh",NS-2025-10025,2025-03-18,2025-04-17,USD,PO-387948,282.76,7.5,21.21,0.0,12.0,303.97,Net 30,Thank you for your business.,"Northstar Paper Co.
Number: NS-2025-10025
Desk organizer 4 55.86 223.44
Archive folders 2 23.66 47.32
Subtotal: 282.76
Tax: 21.21
Total: 303.97",,,,,,,,,
INV-0027,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 126 2026,Lisa Johnson,"112 Phillip Terrace, South Carlos",NS-2025-10026,2025-04-07,2025-04-21,USD,PO-235605,307.28,8.25,25.35,0.0,4.95,332.63,Net 30,,"Juniper Office Works
Number: NS-2025-10026
Archive folders 3 36.90 110.70
USB adapter 1 46.59 46.59
Cleaning cloths 4 36.26 145.04
Subtotal: 307.28
Tax: 25.35
Total: 332.63",,,,,,,,,
INV-0028,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 127 2027,James Hernandez,"00593 Laura Plaza Suite 939, Lake Carolyn",NS-2025-10027,2025-01-12,2025-01-26,USD,,78.23,8.25,6.45,0.0,12.0,84.68,Net 30,Thank you for your business.,"Blue Finch Supplies
Number: NS-2025-10027
Archive folders 2 29.50 59.00
Coffee beans 1 7.23 7.23
Subtotal: 78.23
Tax: 6.45
Total: 84.68",,,,,,,,,
INV-0029,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 128 2028,Kathleen Floyd,"10637 Christopher Divide, Hayestown",NS-2025-10028,2025-07-14,2025-08-28,USD,PO-955078,170.89,7.5,12.82,0.0,12.0,183.71,Net 30,,"Copper & Pine Studio
Number: NS-2025-10028
Granola cup 2 30.27 60.54
Shipping labels 2 31.00 62.00
Cleaning cloths 1 36.35 36.35
Subtotal: 170.89
Tax: 12.82
Total: 183.71",,,,,,,,,
INV-0030,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 129 2029,Joseph Peterson,"288 Chelsea Crest, Morrisfurt",NS-2025-10029,2025-04-09,2025-04-23,USD,PO-100866,248.38,5.0,12.42,5.0,4.95,260.8,Net 30,Thank you for your business.,"Maple Circuit Goods
Number: NS-2025-10029
USB adapter 3 36.39 109.17
Canvas tote 2 10.70 21.40
Desk organizer 2 33.76 67.52
Herbal tea 2 25.17 50.34
Subtotal: 248.38
Tax: 12.42
Total: 260.80",,,,,,,,,
INV-0031,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 130 2030,Emily Serrano,"5982 Crystal Port, Bowmanbury",NS-2025-10030,2025-09-27,2025-10-27,USD,,306.09,7.5,22.96,0.0,8.5,329.05,Net 30,,"Northstar Paper Co.
Number: NS-2025-10030
Granola cup 2 52.37 104.74
Canvas tote 3 7.70 23.10
Herbal tea 4 33.76 135.04
Cleaning cloths 3 11.57 34.71
Subtotal: 306.09
Tax: 22.96
Total: 329.05",,,,,,,,,
INV-0032,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 131 2031,Jacob Trevino,"04897 Rachel Groves, South Richardborough",NS-2025-10031,2025-06-13,2025-06-27,USD,PO-483863,164.25,0.0,0.0,5.0,12.0,164.25,Net 30,Thank you for your business.,"Juniper Office Works
Number: NS-2025-10031
Recycled notebooks 2 24.58 49.16
Gel pen set 3 19.37 58.11
USB adapter 2 24.99 49.98
Subtotal: 164.25
Tax: 0.00
Total: 164.25",,,,,,,,,
INV-0033,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 132 2032,Deborah Campos,"958 Berg Gardens Apt. 442, Aguilarport",NS-2025-10032,2025-10-28,2025-11-11,USD,PO-369589,420.65,0.0,0.0,0.0,12.0,420.65,Net 30,,"Blue Finch Supplies
Number: NS-2025-10032
USB adapter 3 49.55 148.65
Shipping labels 4 50.71 202.84
Archive folders 4 14.29 57.16
Subtotal: 420.65
Tax: 0.00
Total: 420.65",,,,,,,,,
INV-0034,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 133 2033,Jennifer Green,"51535 Monique Vista Suite 263, Port Jennifer",NS-2025-10033,2025-04-25,2025-05-25,USD,,359.97,5.0,18.0,5.0,4.95,377.97,Net 30,Thank you for your business.,"Copper & Pine Studio
Number: NS-2025-10033
Archive folders 1 35.16 35.16
Cleaning cloths 1 29.14 29.14
USB adapter 4 50.89 203.56
Coffee beans 4 23.04 92.16
Subtotal: 359.97
Tax: 18.00
Total: 377.97",,,,,,,,,
INV-0035,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 134 2034,Laurie Thomas,"00619 Timothy Springs Suite 765, Jimmyberg",NS-2025-10034,2025-05-03,2025-06-02,USD,PO-679071,186.69,8.25,15.4,0.0,0.0,202.09,Net 30,,"Maple Circuit Goods
Number: NS-2025-10034
Cable clips 4 6.49 25.96
Cleaning cloths 3 47.55 142.65
Canvas tote 1 18.08 18.08
Subtotal: 186.69
Tax: 15.40
Total: 202.09",,,,,,,,,
INV-0036,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 135 2035,Keith Campos,"97144 Juan Road, Lake Coreymouth",NS-2025-10035,2025-11-01,2025-12-16,USD,PO-683363,365.75,7.5,27.43,5.0,8.5,393.18,Net 30,Thank you for your business.,"Northstar Paper Co.
Number: NS-2025-10035
Cable clips 2 18.30 36.60
Desk organizer 3 11.86 35.58
Granola cup 3 53.94 161.82
Gel pen set 3 42.75 128.25
Subtotal: 365.75
Tax: 27.43
Total: 393.18",,,,,,,,,
INV-0037,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 136 2036,Gabrielle Gentry,"84346 Jackson Road, Sarahaven",NS-2025-10036,2025-05-24,2025-06-07,USD,,264.48,8.25,21.82,0.0,0.0,286.3,Net 30,,"Juniper Office Works
Number: NS-2025-10036
USB adapter 1 10.63 10.63
Desk organizer 1 29.85 29.85
Gel pen set 4 56.00 224.00
Subtotal: 264.48
Tax: 21.82
Total: 286.30",,,,,,,,,
INV-0038,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 137 2037,Philip Arnold,"4989 Crystal Harbor Apt. 271, Cantumouth",NS-2025-10037,2025-10-21,2025-12-05,USD,PO-853262,81.31,0.0,0.0,0.0,0.0,81.31,Net 30,Thank you for your business.,"Blue Finch Supplies
Number: NS-2025-10037
Herbal tea 3 11.25 33.75
Granola cup 2 21.55 43.10
Recycled notebooks 1 4.46 4.46
Subtotal: 81.31
Tax: 0.00
Total: 81.31",,,,,,,,,
INV-0039,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 138 2038,Cassandra Petty,"3378 Michael Parkway Apt. 500, New Erica",NS-2025-10038,2025-01-27,2025-02-10,USD,PO-899041,267.65,8.25,22.08,10.0,0.0,289.73,Net 30,,"Copper & Pine Studio
Number: NS-2025-10038
Coffee beans 1 22.83 22.83
Cable clips 1 19.13 19.13
Granola cup 2 22.18 44.36
Canvas tote 3 38.95 116.85
Shipping labels 4 18.62 74.48
Subtotal: 267.65
Tax: 22.08
Total: 289.73",,,,,,,,,
INV-0040,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 139 2039,Teresa Jones,"3885 Michael Rue Apt. 488, West Matthew",NS-2025-10039,2025-10-01,2025-10-15,USD,,392.61,0.0,0.0,0.0,4.95,392.61,Net 30,Thank you for your business.,"Maple Circuit Goods
Number: NS-2025-10039
Coffee beans 4 18.99 75.96
Granola cup 4 56.04 224.16
USB adapter 2 43.77 87.54
Subtotal: 392.61
Tax: 0.00
Total: 392.61",,,,,,,,,
RCT-0001,receipt,receipt_1,,,,,,,,,,USD,,36.5,,2.74,,,39.24,,,"Morning Oak Market
Number: RC-2501-5000
Cable clips 1 14.46 14.46
Shipping labels 2 11.02 22.04
Subtotal: 36.50
Tax: 2.74
Total: 39.24",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 500 6000,RC-2501-5000,2025-01-05,19:00,CASH,,Team A
RCT-0002,receipt,receipt_2,,,,,,,,,,USD,,55.63,,2.78,,,58.41,,,"Little Lantern Cafe
Number: RC-2502-5001
Granola cup 3 14.29 42.87
USB adapter 1 12.76 12.76
Subtotal: 55.63
Tax: 2.78
Total: 58.41",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 501 6001,RC-2502-5001,2025-02-26,17:25,VISA,5572,Team B
RCT-0003,receipt,receipt_3,,,,,,,,,,USD,,115.6,,9.54,,,125.14,,,"Harbor Basket
Number: RC-2511-5002
Cable clips 3 5.84 17.52
Shipping labels 2 16.06 32.12
Gel pen set 3 4.30 12.90
Coffee beans 3 9.38 28.14
Desk organizer 2 12.46 24.92
Subtotal: 115.60
Tax: 9.54
Total: 125.14",Harbor Basket,"203 Tide Street, Seacliff, CA 94016",+1 555 502 6002,RC-2511-5002,2025-11-16,13:43,VISA,7283,Team C
RCT-0004,receipt,receipt_4,,,,,,,,,,USD,,56.13,,0.0,,,56.13,,,"Cobalt Corner Shop
Number: RC-2510-5003
Coffee beans 3 14.97 44.91
Cable clips 3 3.74 11.22
Subtotal: 56.13
Tax: 0.00
Total: 56.13",Cobalt Corner Shop,"39 Prism Avenue, Eastmere, IL 60607",+1 555 503 6003,RC-2510-5003,2025-10-29,13:04,MASTERCARD,0701,Team D
RCT-0005,receipt,receipt_1,,,,,,,,,,USD,,174.19,,13.06,,,187.25,,,"Morning Oak Market
Number: RC-2505-5004
Desk organizer 3 13.75 41.25
Cleaning cloths 3 11.92 35.76
Coffee beans 4 15.16 60.64
USB adapter 3 12.18 36.54
Subtotal: 174.19
Tax: 13.06
Total: 187.25",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 504 6004,RC-2505-5004,2025-05-17,20:23,MASTERCARD,7055,Team E
RCT-0006,receipt,receipt_2,,,,,,,,,,USD,,119.42,,5.97,,,125.39,,,"Little Lantern Cafe
Number: RC-2510-5005
Cleaning cloths 2 15.85 31.70
Gel pen set 2 8.76 17.52
Cable clips 4 14.22 56.88
Coffee beans 3 4.44 13.32
Subtotal: 119.42
Tax: 5.97
Total: 125.39",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 505 6005,RC-2510-5005,2025-10-11,17:42,CASH,,Team F
RCT-0007,receipt,receipt_3,,,,,,,,,,USD,,107.98,,5.4,,,113.38,,,"Harbor Basket
Number: RC-2507-5006
Cable clips 4 6.56 26.24
Recycled notebooks 4 10.90 43.60
Coffee beans 2 6.22 12.44
Desk organizer 2 12.85 25.70
Subtotal: 107.98
Tax: 5.40
Total: 113.38",Harbor Basket,"203 Tide Street, Seacliff, CA 94016",+1 555 506 6006,RC-2507-5006,2025-07-21,12:49,CASH,,Team A
RCT-0008,receipt,receipt_4,,,,,,,,,,USD,,55.61,,2.78,,,58.39,,,"Cobalt Corner Shop
Number: RC-2503-5007
Cable clips 3 3.22 9.66
Desk organizer 2 12.57 25.14
Coffee beans 1 8.57 8.57
Recycled notebooks 1 12.24 12.24
Subtotal: 55.61
Tax: 2.78
Total: 58.39",Cobalt Corner Shop,"39 Prism Avenue, Eastmere, IL 60607",+1 555 507 6007,RC-2503-5007,2025-03-17,15:41,CASH,,Team B
RCT-0009,receipt,receipt_1,,,,,,,,,,USD,,194.73,,14.6,,,209.33,,,"Morning Oak Market
Number: RC-2510-5008
Herbal tea 4 16.30 65.20
USB adapter 3 6.91 20.73
Cleaning cloths 4 12.46 49.84
Coffee beans 4 14.74 58.96
Subtotal: 194.73
Tax: 14.60
Total: 209.33",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 508 6008,RC-2510-5008,2025-10-16,11:15,VISA,0756,Team C
